gene,IMR-90_NPC_siNC_1,IMR-90_NPC_siNC_2,IMR-90_NPC_siNC_3,IMR-90_NPC_siNC_4,IMR-90_NPC_siNC_5,IMR-90_NPC_siNC_6,IMR-90_NPC_siZCC_1,IMR-90_NPC_siZCC_2,IMR-90_NPC_siZCC_3,IMR-90_NPC_siZCC_4,IMR-90_NPC_siZCC_5,IMR-90_NPC_siZCC_6
AC044839.1,1,2,0,1,2,1,0,0,0,0,0,1
AC044839.2,0,0,0,0,0,0,0,0,0,0,0,0
LINC02690,0,0,0,0,0,0,0,0,0,0,0,0
LINC02716,5,2,5,6,10,5,4,3,3,5,2,12
SLC35C1,3765,4236,4213,3288,4203,3842,3462,3744,3386,3153,3106,3578
AC044839.3,3,1,4,1,2,4,4,7,7,2,3,4
CRY2,6388,7425,7151,5441,7165,6534,5745,6630,5849,5126,5513,5933
MAPK8IP1,34387,38976,39712,29052,38796,35542,29912,32920,30381,27851,28910,33123
AC068385.1,18,26,39,36,23,30,43,25,19,24,15,18
C11orf94,44,41,34,40,34,46,37,30,24,24,26,36
PEX16,2406,2820,2795,1958,2569,2493,2033,2333,2102,1863,1970,2262
LARGE2,100,115,79,96,95,92,72,73,73,62,67,83
PHF21A,13248,14219,13717,11321,14451,13841,10005,12650,10817,9227,10025,11044
AC024475.1,0,0,2,0,0,0,0,0,1,0,0,0
AC024475.3,5,6,8,3,10,11,3,4,3,3,10,3
AC024475.2,0,0,1,0,0,0,0,0,0,0,0,0
LINC02710,0,0,0,0,0,0,0,0,0,0,0,0
AC116021.1,14,15,34,22,13,23,15,13,10,6,16,20
LINC02489,1,0,0,0,0,0,1,0,1,0,0,0
CREB3L1,321,236,281,284,171,277,179,257,250,91,81,145
DGKZ,9629,10762,10889,8450,10902,9870,8142,9480,8082,7251,8077,8422
MIR4688,0,0,0,0,0,0,0,0,0,0,0,0
MDK,18226,20587,21156,15106,20404,18332,15023,17524,16643,13496,15214,17196
CHRM4,1016,1557,1232,965,1546,1053,1108,1302,1201,1118,1343,1087
AMBRA1,7703,8808,8619,6718,8762,8376,5980,6942,6091,5491,6040,6376
AC024293.1,314,340,366,224,323,301,226,359,267,219,251,296
MIR3160-1,0,0,1,0,0,0,0,1,0,0,0,0
MIR3160-2,0,0,0,0,0,0,0,0,0,0,0,0
AC127035.1,1,0,1,2,0,0,0,0,1,0,1,0
HARBI1,993,1007,1077,821,1009,982,764,929,743,663,757,791
